BAFL - Brakes Are For Losers
 Mexico, $89.99
 Norway, 40.00 kr
 United States, $4.99
 Canada, $6.49
 South Africa, R65.00
 Australia, $7.50
 New Zealand, $8.25
 Sweden, 50.00 kr
 Denmark, 37.50 kr.
 Switzerland, CHF7.00
