Mecho Tales
 Canada, $0.99
 Mexico, $15.99
 United States, $0.99
 Norway, 68.00 kr
 South Africa, R111.00
 Australia, $12.49
 New Zealand, $13.99
 Sweden, 85.00 kr
 Denmark, 63.75 kr.
 Switzerland, CHF11.90
