AeternoBlade
 Canada, $18.49
 Mexico, $287.49
 Norway, 120.00 kr
 United States, $14.99
 South Africa, R195.00
 Australia, $22.50
 New Zealand, $24.75
 Sweden, 150.00 kr
 Denmark, 112.50 kr.
 Switzerland, CHF21.00
