Sling Ming
 Mexico, $205.70
 Canada, $14.19
 Norway, 96.00 kr
 United States, $11.99
 South Africa, R156.00
 Australia, $18.00
 New Zealand, $19.80
 Sweden, 120.00 kr
 Denmark, 90.00 kr.
 Switzerland, CHF16.80
