Millie
 Mexico, $73.99
 Canada, $4.99
 Norway, 39.00 kr
 United States, $4.99
 South Africa, R65.00
 New Zealand, $7.99
 Sweden, 49.00 kr
 Australia, $7.50
 Denmark, 37.50 kr.
 Switzerland, CHF7.00
