Shu
 Norway, 69.00 kr
 Mexico, $169.00
 South Africa, R109.00
 Canada, $11.59
 New Zealand, $13.99
 Sweden, 85.00 kr
 Australia, $12.99
 United States, $9.99
 Denmark, 63.75 kr.
 Switzerland, CHF11.90
