Swim Out
 Mexico, $64.99
 Canada, $6.29
 Norway, 48.00 kr
 United States, $5.99
 South Africa, R78.00
 Australia, $9.00
 New Zealand, $9.90
 Sweden, 60.00 kr
 Denmark, 45.00 kr.
 Switzerland, CHF8.40
