Garage
 Canada, $18.89
 Norway, 120.00 kr
 Mexico, $290.81
 United States, $14.99
 South Africa, R197.00
 Australia, $22.50
 Sweden, 150.00 kr
 Denmark, 112.50 kr.
 Switzerland, CHF21.00
