Robonauts
 Mexico, $54.00
 Canada, $3.79
 United States, $2.99
 Norway, 120.00 kr
 South Africa, R195.00
 Australia, $22.50
 New Zealand, $24.75
 Sweden, 150.00 kr
 Denmark, 112.50 kr.
 Switzerland, CHF21.00
