BINGO for Nintendo Switch
 Mexico, $74.80
 Canada, $5.16
 Norway, 40.00 kr
 United States, $4.99
 South Africa, R65.00
 Australia, $7.50
 Sweden, 50.00 kr
 Denmark, 37.50 kr.
 Switzerland, CHF7.00
