Penny-Punching Princess
 Mexico, $729.99
 Norway, 320.00 kr
 United States, $39.99
 South Africa, R520.00
 Canada, $54.99
 Australia, $59.95
 Sweden, 400.00 kr
 Denmark, 300.00 kr.
 New Zealand, $69.99
 Switzerland, CHF56.00
