Late Shift
 Mexico, $240.00
 Canada, $15.99
 Norway, 104.00 kr
 United States, $12.99
 South Africa, R169.00
 Australia, $19.50
 Sweden, 130.00 kr
 Denmark, 97.50 kr.
 Switzerland, CHF18.20
