Crawl
 Mexico, $279.00
 Canada, $18.99
 Norway, 120.00 kr
 United States, $14.99
 Australia, $19.99
 South Africa, R195.00
 New Zealand, $22.99
 Sweden, 150.00 kr
 Denmark, 112.50 kr.
 Switzerland, CHF19.00
