Rock 'N Racing Off Road DX
 Canada, $7.19
 Mexico, $111.99
 Norway, 51.00 kr
 United States, $6.39
 South Africa, R83.20
 Australia, $9.60
 New Zealand, $10.56
 Sweden, 64.00 kr
