Splat the Fruit
 Mexico, $189.99
 Norway, 79.00 kr
 United States, $9.99
 Canada, $12.99
 South Africa, R129.95
 Sweden, 99.00 kr
 Australia, $14.99
 New Zealand, $16.99
 Denmark, 79.75 kr.
 Switzerland, CHF14.99
