TumbleSeed
 Norway, 112.00 kr
 Australia, $18.20
 South Africa, R182.00
 United States, $14.99
 Canada, $19.74
 Mexico, $301.98
 Sweden, 140.00 kr
 New Zealand, $23.80
 Denmark, 105.00 kr.
 Switzerland, CHF19.60
