Mr. Shifty
 Australia, $19.50
 Norway, 120.00 kr
 United States, $14.99
 Canada, $19.74
 Mexico, $299.99
 South Africa, R195.00
 Sweden, 150.00 kr
 New Zealand, $25.50
 Denmark, 112.50 kr.
 Switzerland, CHF21.00
