Puzzle Box Maker
 United States, $11.99
 Mexico, $239.99
 Canada, $15.99
 Australia, $18.00
 New Zealand, $19.80
 Sweden, 120.00 kr
 Norway, 112.00 kr
 Denmark, 90.00 kr.
 South Africa, R191.60
 Switzerland, CHF16.79
