NAMCO MUSEUM (PAC-MAN VS. Free Multiplayer-only Ver.)
 Switzerland, CHF0.00
 Denmark, 0.00 kr.
 Australia, $0.00
 Norway, 0.00 kr
 New Zealand, $0.00
 Sweden, 0.00 kr
 South Africa, R0.00
 Canada, $0.00
 Mexico, $0.00
 United States, $0.00
