Tennis in the Face
 Mexico, $89.90
 Canada, $5.99
 United States, $4.99
 Sweden, 49.00 kr
 Australia, $7.49
 Denmark, 37.00 kr.
 New Zealand, $8.49
 Norway, 48.00 kr
 Switzerland, CHF5.99
 South Africa, R79.00
