I am Setsuna
 Canada, $39.99
 Mexico, $749.00
 United States, $39.99
 Switzerland, CHF39.90
 Norway, 329.00 kr
 Sweden, 359.00 kr
 New Zealand, $63.95
 Australia, $59.95
 Denmark, 299.00 kr.
 South Africa, R629.00
