Masters of Anima
 Mexico, $371.00
 United States, $19.99
 Switzerland, CHF19.95
 Sweden, 179.00 kr
 Norway, 169.00 kr
 Canada, $26.99
 New Zealand, $31.95
 Australia, $29.95
 Denmark, 149.00 kr.
 South Africa, R319.00
