FRAMED Collection
 Canada, $11.35
 Mexico, $174.40
 United States, $8.99
 Norway, 80.00 kr
 South Africa, R131.00
 Australia, $15.00
 New Zealand, $16.50
 Sweden, 100.00 kr
 Denmark, 75.00 kr.
 Switzerland, CHF14.00
