Invisiballs
 Norway, 74.00 kr
 South Africa, R121.00
 Australia, $13.80
 New Zealand, $15.20
 Sweden, 92.00 kr
 Denmark, 69.00 kr.
 Canada, $16.37
 Mexico, $252.01
