World Conqueror X
 United States, $9.99
 Canada, $13.09
 Mexico, $218.00
 Sweden, 115.00 kr
 Denmark, 86.00 kr.
 Australia, $17.95
 Switzerland, CHF13.50
 New Zealand, $19.75
 Norway, 112.00 kr
 South Africa, R194.00
