Zombillie
 Mexico, $89.99
 Canada, $5.99
 Norway, 39.00 kr
 United States, $4.99
 South Africa, R65.00
 Sweden, 49.00 kr
 Australia, $7.50
 Denmark, 37.00 kr.
 Switzerland, CHF7.00
