The Adventures of Elena Temple
 United States, $4.99
 Canada, $6.49
 Mexico, $99.99
 Norway, 45.00 kr
 South Africa, R69.95
 Sweden, 50.00 kr
 New Zealand, $8.49
 Denmark, 37.50 kr.
 Australia, $7.99
 Switzerland, CHF6.99
