Koi DX
 United States, $5.00
 Mexico, $112.00
 Canada, $7.49
 New Zealand, $9.25
 Switzerland, CHF6.50
 Sweden, 58.00 kr
 Australia, $8.85
 Norway, 56.00 kr
 Denmark, 45.00 kr.
 South Africa, R94.00
