Binaries
 Norway, 89.00 kr
 South Africa, R145.00
 Australia, $16.99
 United States, $12.99
 Canada, $16.99
 Mexico, $259.99
 Sweden, 119.00 kr
 New Zealand, $19.99
 Denmark, 89.00 kr.
 Switzerland, CHF15.99
