The Jackbox Party Pack 4
 Norway, 175.00 kr
 South Africa, R285.00
 New Zealand, $35.99
 Australia, $33.00
 United States, $24.99
 Sweden, 220.00 kr
 Denmark, 165.00 kr.
 Canada, $33.99
 Mexico, $517.99
