Pankapu
 Canada, $14.99
 South Africa, R149.00
 Mexico, $235.00
 United States, $11.99
 Norway, 99.00 kr
 Australia, $17.99
 Sweden, 119.00 kr
 New Zealand, $19.99
 Denmark, 90.00 kr.
 Switzerland, CHF16.90
