Death Squared
 Australia, $10.04
 New Zealand, $11.38
 Norway, 66.00 kr
 Canada, $11.38
 South Africa, R113.20
 Switzerland, CHF9.37
 Sweden, 86.00 kr
 United States, $10.04
 Mexico, $200.33
 Denmark, 66.25 kr.
