Attack on Titan 2
 Mexico, $1,103.30
 Canada, $76.11
 United States, $59.99
 Norway, 560.00 kr
 South Africa, R910.00
 Australia, $105.00
 Sweden, 700.00 kr
 Denmark, 525.00 kr.
 Switzerland, CHF98.00
