Stardew Valley
 Mexico, $149.99
 Norway, 100.00 kr
 New Zealand, $17.99
 South Africa, R159.00
 Australia, $16.99
 Canada, $16.99
 United States, $14.99
 Switzerland, CHF15.00
 Sweden, 140.00 kr
 Denmark, 105.00 kr.
