Aegis Defenders
 Mexico, $179.99
 New Zealand, $23.99
 Canada, $21.99
 South Africa, R219.00
 Australia, $23.95
 Denmark, 125.00 kr.
 Norway, 160.00 kr
 United States, $19.99
 Sweden, 200.00 kr
