Infernium
 Norway, 138.00 kr
 South Africa, R224.95
 Australia, $25.87
 New Zealand, $28.46
 Sweden, 172.00 kr
 Denmark, 129.25 kr.
 Mexico, $464.99
 Switzerland, CHF24.15
 Canada, $31.95
