Letter Quest Remastered
 Mexico, $69.93
 Canada, $4.82
 United States, $4.07
 Norway, 96.00 kr
 South Africa, R156.00
 Australia, $18.00
 New Zealand, $19.80
 Sweden, 120.00 kr
