Vostok Inc.
 Mexico, $207.99
 Norway, 96.00 kr
 United States, $11.99
 Australia, $15.99
 Canada, $15.99
 South Africa, R156.00
 New Zealand, $18.39
 Sweden, 120.00 kr
 Denmark, 89.50 kr.
 Switzerland, CHF16.80
