Mario + Rabbids Kingdom Battle
 United States, $59.99
 Canada, $79.99
 Sweden, 549.00 kr
 Mexico, $1,299.00
 Norway, 549.00 kr
 South Africa, R849.00
 Australia, $89.95
 New Zealand, $99.95
 Denmark, 449.00 kr.
 Switzerland, CHF69.90
