Teslagrad
 Mexico, $249.99
 Canada, $17.99
 Norway, 120.00 kr
 United States, $14.99
 South Africa, R195.00
 Australia, $22.50
 Sweden, 149.00 kr
 New Zealand, $24.75
 Denmark, 110.00 kr.
 Switzerland, CHF21.00
