 Mexico, $93.49
 Norway, 40.00 kr
 Canada, $6.44
 United States, $4.99
 South Africa, R65.00
 Australia, $7.50
 New Zealand, $8.25
 Sweden, 50.00 kr
 Denmark, 37.50 kr.
 Switzerland, CHF7.00
