NAMCO MUSEUM
 Canada, $34.99
 Mexico, $539.00
 Australia, $39.00
 United States, $29.99
 New Zealand, $49.00
 Sweden, 299.00 kr
 Norway, 285.00 kr
 Denmark, 225.00 kr.
 South Africa, R499.00
 Switzerland, CHF39.99
