Mulaka
 Mexico, $249.00
 Canada, $24.98
 Norway, 159.00 kr
 United States, $19.98
 South Africa, R259.00
 Australia, $29.79
 New Zealand, $32.79
 Sweden, 199.00 kr
 Denmark, 149.25 kr.
