L.F.O. -Lost Future Omega-
 Norway, 52.00 kr
 South Africa, R85.00
 Australia, $9.75
 New Zealand, $10.75
 Sweden, 65.00 kr
 Denmark, 48.75 kr.
 Canada, $10.07
 Mexico, $155.01
 United States, $7.99
 Switzerland, CHF9.10
