Ace of Seafood
 Norway, 59.00 kr
 South Africa, R96.00
 Australia, $11.10
 New Zealand, $12.20
 Sweden, 74.00 kr
 Denmark, 55.50 kr.
 Switzerland, CHF10.40
 Mexico, $205.70
 Canada, $14.19
 United States, $11.99
