De Mambo
 Norway, 49.00 kr
 South Africa, R75.50
 Australia, $7.99
 New Zealand, $8.99
 Sweden, 55.00 kr
 Denmark, 42.00 kr.
 Switzerland, CHF6.75
 Canada, $15.99
 Mexico, $245.00
 United States, $12.99
