Graceful Explosion Machine
 Canada, $13.99
 Mexico, $229.00
 New Zealand, $17.99
 South Africa, R159.00
 Australia, $16.99
 United States, $12.99
 Switzerland, CHF13.00
 Norway, 109.00 kr
 Sweden, 119.00 kr
 Denmark, 99.00 kr.
