Coffin Dodgers
 Mexico, $157.08
 Canada, $10.84
 Norway, 72.00 kr
 United States, $9.09
 South Africa, R118.30
 Australia, $13.65
 Sweden, 91.00 kr
 Denmark, 68.25 kr.
 Switzerland, CHF12.74
