Sally's Law
 Norway, 80.00 kr
 South Africa, R130.00
 New Zealand, $15.99
 Australia, $14.99
 Sweden, 100.00 kr
 Denmark, 75.00 kr.
 Mexico, $239.99
 United States, $12.99
 Canada, $16.99
 Switzerland, CHF13.99
