Detention
 Norway, 84.00 kr
 South Africa, R135.00
 Mexico, $224.40
 Australia, $15.75
 Canada, $15.48
 Sweden, 105.00 kr
 Denmark, 78.75 kr.
 United States, $12.99
 Switzerland, CHF14.70
