Disco Dodgeball - REMIX
 Canada, $11.99
 Norway, 96.00 kr
 Mexico, $232.00
 United States, $11.99
 South Africa, R157.60
 Australia, $18.00
 New Zealand, $19.80
 Sweden, 120.00 kr
 Denmark, 90.00 kr.
 Switzerland, CHF16.80
