Runner3
 Sweden, 207.00 kr
 South Africa, R300.00
 Mexico, $475.00
 Norway, 207.00 kr
 New Zealand, $36.99
 Canada, $33.99
 Australia, $34.95
 United States, $29.99
 Switzerland, CHF30.00
 Denmark, 200.00 kr.
