Aces of the Luftwaffe - Squadron
 Mexico, $259.00
 Canada, $17.99
 Norway, 120.00 kr
 United States, $14.99
 South Africa, R195.00
 Australia, $22.50
 Sweden, 150.00 kr
 New Zealand, $24.99
 Denmark, 112.50 kr.
 Switzerland, CHF20.99
