Oh...Sir! The Insult Simulator
 Mexico, $39.00
 United States, $1.99
 Switzerland, CHF2.00
 New Zealand, $2.99
 Canada, $2.79
 Australia, $2.99
 Sweden, 20.00 kr
 South Africa, R29.95
 Denmark, 17.00 kr.
