Black Hole
 Canada, $6.99
 Mexico, $110.00
 Norway, 48.00 kr
 United States, $5.99
 South Africa, R78.00
 Australia, $8.99
 Sweden, 60.00 kr
 New Zealand, $9.99
 Denmark, 45.00 kr.
 Switzerland, CHF8.40
