10 Second Run RETURNS
 Norway, 40.00 kr
 South Africa, R70.00
 Sweden, 50.00 kr
 New Zealand, $8.30
 Australia, $7.65
 Denmark, 37.50 kr.
 Canada, $7.65
 Mexico, $120.00
 United States, $6.54
 Switzerland, CHF7.65
