Wizard of Legend
 Canada, $19.99
 Norway, 128.00 kr
 Mexico, $310.00
 United States, $15.99
 South Africa, R210.00
 Sweden, 160.00 kr
 New Zealand, $26.99
 Denmark, 120.00 kr.
 Australia, $25.99
 Switzerland, CHF22.40
