SteamWorld Dig 2
 Norway, 120.00 kr
 United States, $14.99
 Canada, $20.09
 South Africa, R195.00
 Mexico, $307.37
 Australia, $22.49
 Sweden, 149.00 kr
 New Zealand, $24.75
 Denmark, 112.50 kr.
 Switzerland, CHF21.00
