Use Your Words
 Australia, $17.05
 Norway, 105.00 kr
 Canada, $16.99
 South Africa, R170.00
 United States, $14.99
 Sweden, 131.00 kr
 New Zealand, $22.25
 Mexico, $301.98
 Denmark, 98.25 kr.
 Switzerland, CHF18.30
