INVERSUS Deluxe
 Norway, 99.00 kr
 Australia, $17.99
 Sweden, 119.00 kr
 Mexico, $269.99
 New Zealand, $19.99
 South Africa, R179.00
 United States, $14.99
 Switzerland, CHF14.99
 Canada, $19.99
 Denmark, 99.00 kr.
