Castle of Heart
 Canada, $13.49
 Mexico, $251.10
 Norway, 107.00 kr
 United States, $13.49
 South Africa, R179.10
 Sweden, 134.00 kr
 New Zealand, $22.49
 Australia, $20.61
 Denmark, 107.00 kr.
 Switzerland, CHF18.89
