Asdivine Hearts
 Mexico, $224.99
 Norway, 104.00 kr
 United States, $12.99
 South Africa, R169.00
 Canada, $17.99
 Australia, $19.50
 Sweden, 130.00 kr
 Denmark, 97.50 kr.
 New Zealand, $24.99
 Switzerland, CHF18.00
