Owlboy
 Mexico, $399.00
 New Zealand, $29.99
 Norway, 169.00 kr
 Canada, $27.99
 Sweden, 189.00 kr
 Australia, $29.95
 South Africa, R299.00
 United States, $24.99
 Switzerland, CHF24.99
 Denmark, 169.00 kr.
