One More Dungeon
 Mexico, $104.72
 Canada, $7.19
 Norway, 51.00 kr
 United States, $6.39
 South Africa, R83.20
 Sweden, 64.00 kr
 Denmark, 48.00 kr.
 Switzerland, CHF8.96
 Australia, $12.00
 New Zealand, $13.20
